fips,county_name,population
01001,"Autauga County, Alabama",58761
01003,"Baldwin County, Alabama",233420
01005,"Barbour County, Alabama",24877
01007,"Bibb County, Alabama",22251
01009,"Blount County, Alabama",59077
01011,"Bullock County, Alabama",10328
01013,"Butler County, Alabama",18981
01015,"Calhoun County, Alabama",116162
01017,"Chambers County, Alabama",34612
01019,"Cherokee County, Alabama",25069
01021,"Chilton County, Alabama",45140
01023,"Choctaw County, Alabama",12669
01025,"Clarke County, Alabama",23058
01027,"Clay County, Alabama",14209
01029,"Cleburne County, Alabama",15144
01031,"Coffee County, Alabama",53559
01033,"Colbert County, Alabama",57270
01035,"Conecuh County, Alabama",11576
01037,"Coosa County, Alabama",10329
01039,"Covington County, Alabama",37542
01041,"Crenshaw County, Alabama",13205
01043,"Cullman County, Alabama",88284
01045,"Dale County, Alabama",49455
01047,"Dallas County, Alabama",38326
01049,"DeKalb County, Alabama",71680
01051,"Elmore County, Alabama",87694
01053,"Escambia County, Alabama",36755
01055,"Etowah County, Alabama",103348
01057,"Fayette County, Alabama",16297
01059,"Franklin County, Alabama",32011
01061,"Geneva County, Alabama",26647
01063,"Greene County, Alabama",7706
01065,"Hale County, Alabama",14742
01067,"Henry County, Alabama",17282
01069,"Houston County, Alabama",107040
01071,"Jackson County, Alabama",52618
01073,"Jefferson County, Alabama",672265
01075,"Lamar County, Alabama",13885
01077,"Lauderdale County, Alabama",94329
01079,"Lawrence County, Alabama",33116
01081,"Lee County, Alabama",175126
01083,"Limestone County, Alabama",104199
01085,"Lowndes County, Alabama",10153
01087,"Macon County, Alabama",19198
01089,"Madison County, Alabama",389781
01091,"Marengo County, Alabama",19180
01093,"Marion County, Alabama",29203
01095,"Marshall County, Alabama",97923
01097,"Mobile County, Alabama",413878
01099,"Monroe County, Alabama",19816
01101,"Montgomery County, Alabama",228132
01103,"Morgan County, Alabama",123102
01105,"Perry County, Alabama",8479
01107,"Pickens County, Alabama",18925
01109,"Pike County, Alabama",32997
01111,"Randolph County, Alabama",22179
01113,"Russell County, Alabama",58849
01115,"St. Clair County, Alabama",91719
01117,"Shelby County, Alabama",223916
01119,"Sumter County, Alabama",12196
01121,"Talladega County, Alabama",81105
01123,"Tallapoosa County, Alabama",41251
01125,"Tuscaloosa County, Alabama",231558
01127,"Walker County, Alabama",64978
01129,"Washington County, Alabama",15434
01131,"Wilcox County, Alabama",10441
01133,"Winston County, Alabama",23655
02013,"Aleutians East Borough, Alaska",3407
02016,"Aleutians West Census Area, Alaska",5219
02020,"Anchorage Municipality, Alaska",290674
02050,"Bethel Census Area, Alaska",18538
02060,"Bristol Bay Borough, Alaska",854
02063,"Chugach Census Area, Alaska",7000
02066,"Copper River Census Area, Alaska",2614
02068,"Denali Borough, Alaska",2101
02070,"Dillingham Census Area, Alaska",4854
02090,"Fairbanks North Star Borough, Alaska",96299
02100,"Haines Borough, Alaska",2079
02105,"Hoonah-Angoon Census Area, Alaska",2329
02110,"Juneau City and Borough, Alaska",32108
02122,"Kenai Peninsula Borough, Alaska",59235
02130,"Ketchikan Gateway Borough, Alaska",13910
02150,"Kodiak Island Borough, Alaska",13065
02158,"Kusilvak Census Area, Alaska",8372
02164,"Lake and Peninsula Borough, Alaska",999
02170,"Matanuska-Susitna Borough, Alaska",108661
02180,"Nome Census Area, Alaska",10018
02185,"North Slope Borough, Alaska",10924
02188,"Northwest Arctic Borough, Alaska",7682
02195,"Petersburg Borough, Alaska",3374
02198,"Prince of Wales-Hyder Census Area, Alaska",5799
02220,"Sitka City and Borough, Alaska",8462
02230,"Skagway Municipality, Alaska",1303
