fips,population,county_reliability,broadband_cv,housing_cv,low_population_flag,very_low_population_flag
01001,58761.0,0.956,0.016,0.1792,False,False
01003,233420.0,1.0,0.0115,0.1012,False,False
01005,24877.0,0.85,0.0375,0.168,False,False
01007,22251.0,0.768,0.0422,0.2808,False,False
01009,59077.0,0.979,0.0186,0.1755,False,False
01011,10328.0,0.687,0.0849,0.2858,False,False
01013,18981.0,0.839,0.0364,0.1803,False,False
01015,116162.0,1.0,0.0137,0.0937,False,False
01017,34612.0,0.911,0.0253,0.1927,False,False
01019,25069.0,0.809,0.0323,0.4053,False,False
01021,45140.0,0.913,0.0263,0.238,False,False
01023,12669.0,0.679,0.0495,0.3004,False,False
01025,23058.0,0.846,0.0387,0.2275,False,False
01027,14209.0,0.722,0.0451,0.332,False,False
01029,15144.0,0.675,0.0396,0.353,False,False
01031,53559.0,1.0,0.0158,0.119,False,False
01033,57270.0,0.974,0.0198,0.1815,False,False
01035,11576.0,0.675,0.0573,0.3588,False,False
01037,10329.0,0.675,0.0473,0.5428,False,False
01039,37542.0,0.986,0.0234,0.1375,False,False
01041,13205.0,0.746,0.0405,0.2416,False,False
01043,88284.0,1.0,0.0144,0.1086,False,False
01045,49455.0,1.0,0.018,0.1305,False,False
01047,38326.0,1.0,0.0294,0.141,False,False
01049,71680.0,0.984,0.0171,0.134,False,False
01051,87694.0,1.0,0.0138,0.1368,False,False
01053,36755.0,0.93,0.0311,0.1896,False,False
01055,103348.0,1.0,0.013,0.0997,False,False
01057,16297.0,0.791,0.0385,0.2754,False,False
01059,32011.0,0.81,0.0371,0.2501,False,False
01061,26647.0,0.916,0.0295,0.2126,False,False
01063,7706.0,0.6,0.0843,0.4924,False,False
01065,14742.0,0.794,0.0433,0.2837,False,False
01067,17282.0,0.791,0.0323,0.2503,False,False
01069,107040.0,1.0,0.0084,0.0564,False,False
01071,52618.0,0.981,0.0165,0.1726,False,False
01073,672265.0,1.0,0.006,0.0339,False,False
01075,13885.0,0.692,0.0447,0.2928,False,False
01077,94329.0,1.0,0.0159,0.1057,False,False
01079,33116.0,0.843,0.0354,0.3188,False,False
01081,175126.0,1.0,0.0124,0.068,False,False
01083,104199.0,1.0,0.0143,0.1318,False,False
01085,10153.0,0.735,0.0509,0.2662,False,False
01087,19198.0,0.85,0.0302,0.1614,False,False
01089,389781.0,1.0,0.0065,0.0625,False,False
01091,19180.0,0.696,0.0378,0.2745,False,False
01093,29203.0,0.875,0.0303,0.304,False,False
01095,97923.0,1.0,0.0119,0.1234,False,False
01097,413878.0,1.0,0.0078,0.0433,False,False
01099,19816.0,0.773,0.0436,0.3271,False,False
01101,228132.0,1.0,0.009,0.0561,False,False
01103,123102.0,1.0,0.014,0.1212,False,False
01105,8479.0,0.609,0.0775,0.4195,False,False
01107,18925.0,0.845,0.0308,0.2045,False,False
01109,32997.0,0.937,0.0349,0.1544,False,False
01111,22179.0,0.846,0.0355,0.1887,False,False
01113,58849.0,0.996,0.026,0.1353,False,False
01115,91719.0,0.979,0.0126,0.1753,False,False
01117,223916.0,1.0,0.0066,0.0831,False,False
01119,12196.0,0.711,0.0484,0.2565,False,False
01121,81105.0,1.0,0.0146,0.1044,False,False
01123,41251.0,0.938,0.0287,0.2242,False,False
01125,231558.0,1.0,0.0089,0.0591,False,False
01127,64978.0,0.978,0.0164,0.1764,False,False
01129,15434.0,0.675,0.0454,0.4632,False,False
01131,10441.0,0.762,0.0582,0.2576,False,False
01133,23655.0,0.783,0.0322,0.2488,False,False
02013,3407.0,0.5,0.0761,0.2503,True,False
02016,5219.0,0.6,0.1043,0.304,False,False
02020,290674.0,1.0,0.0074,0.0595,False,False
02050,18538.0,0.84,0.0238,0.2516,False,False
02060,854.0,0.2,0.088,0.4863,True,True
02063,7000.0,0.679,0.0407,0.3607,False,False
02066,2614.0,0.5,0.0727,0.5826,True,False
02068,2101.0,0.407,0.1076,0.7295,True,False
02070,4854.0,0.5,0.3931,0.2895,True,False
02090,96299.0,1.0,0.0168,0.1128,False,False
02100,2079.0,0.5,0.0929,0.469,True,False
02105,2329.0,0.5,0.0773,0.4255,True,False
02110,32108.0,0.947,0.0138,0.1706,False,False
02122,59235.0,1.0,0.0173,0.1286,False,False
02130,13910.0,0.85,0.0137,0.1302,False,False
02150,13065.0,0.75,0.0381,0.2668,False,False
02158,8372.0,0.7,0.0333,0.4053,False,False
02164,999.0,0.2,0.0872,1.8237,True,True
02170,108661.0,1.0,0.0065,0.0812,False,False
02180,10018.0,0.85,0.024,0.192,False,False
02185,10924.0,0.8,0.0623,0.5233,False,False
02188,7682.0,0.7,0.0231,0.2675,False,False
02195,3374.0,0.5,0.0518,0.2316,True,False
02198,5799.0,0.7,0.0334,0.2216,False,False
02220,8462.0,0.7,0.032,0.1446,False,False
02230,1303.0,0.5,0.1033,1.0132,True,False
02240,6888.0,0.647,0.0517,0.4479,False,False
02275,2134.0,0.5,0.0509,0.3229,True,False
02282,564.0,0.2,0.1496,0.7092,True,True
02290,5355.0,0.7,0.0612,0.5364,False,False
04001,66054.0,0.963,0.0257,0.1948,False,False
04003,125504.0,1.0,0.0109,0.0965,False,False
04005,144705.0,1.0,0.0128,0.0699,False,False
04007,53419.0,1.0,0.0247,0.1209,False,False
04009,38453.0,0.974,0.0233,0.1749,False,False
04011,9483.0,0.6,0.048,0.5144,False,False
04012,16681.0,0.733,0.0396,0.2736,False,False
04013,4430871.0,1.0,0.0019,0.017,False,False
04015,214229.0,1.0,0.0111,0.0714,False,False
04017,107110.0,1.0,0.0173,0.126,False,False
04019,1042393.0,1.0,0.0037,0.024,False,False
04021,433338.0,1.0,0.0061,0.0727,False,False
04023,47838.0,0.985,0.024,0.1675,False,False
04025,237830.0,1.0,0.0083,0.0777,False,False
04027,204374.0,1.0,0.0116,0.0846,False,False
05001,17024.0,0.847,0.0396,0.1851,False,False
05003,19018.0,0.788,0.0333,0.2468,False,False
05005,41801.0,0.945,0.0194,0.1667,False,False
05007,286528.0,1.0,0.0073,0.0901,False,False
05009,37662.0,0.89,0.0254,0.241,False,False
05011,10461.0,0.801,0.0504,0.2215,False,False
05013,4773.0,0.5,0.0785,0.743,True,False
05015,28362.0,0.86,0.0261,0.236,False,False
05017,10234.0,0.825,0.0405,0.2283,False,False
05019,21469.0,0.85,0.0316,0.1431,False,False
05021,14537.0,0.79,0.0319,0.2503,False,False
05023,24948.0,0.849,0.0289,0.2349,False,False
05025,7548.0,0.6,0.056,0.3821,False,False
05027,22707.0,0.75,0.0421,0.2105,False,False
05029,20782.0,0.85,0.0302,0.2356,False,False
05031,111038.0,1.0,0.0133,0.0903,False,False
05033,60593.0,1.0,0.0225,0.1346,False,False
05035,47945.0,1.0,0.0183,0.1,False,False
05037,16827.0,0.85,0.0266,0.1839,False,False
05039,6472.0,0.6,0.0679,0.331,False,False
05041,11285.0,0.815,0.0439,0.2211,False,False
05043,17309.0,0.747,0.0397,0.2139,False,False
05045,124611.0,1.0,0.0112,0.0853,False,False
05047,17160.0,0.737,0.0375,0.2676,False,False
05049,12183.0,0.692,0.0588,0.28,False,False
05051,100021.0,1.0,0.0139,0.0953,False,False
05053,18022.0,0.749,0.0315,0.3024,False,False
05055,45954.0,0.99,0.0163,0.1393,False,False
05057,20037.0,0.703,0.0365,0.2667,False,False
05059,33129.0,0.844,0.0329,0.2843,False,False
05061,12779.0,0.79,0.0392,0.2156,False,False
05063,37910.0,0.939,0.0301,0.209,False,False
05065,13748.0,0.77,0.0469,0.3019,False,False
05067,16784.0,0.798,0.0328,0.2791,False,False
05069,66934.0,1.0,0.0201,0.1225,False,False
05071,25925.0,0.967,0.0317,0.1611,False,False
05073,6277.0,0.668,0.063,0.525,False,False
05075,16258.0,0.809,0.0294,0.2677,False,False
05077,8666.0,0.688,0.0601,0.2894,False,False
05079,13016.0,0.675,0.0706,0.3385,False,False
05081,12024.0,0.795,0.0486,0.4578,False,False
05083,21247.0,0.825,0.031,0.1872,False,False
05085,74292.0,1.0,0.0133,0.1108,False,False
05087,16737.0,0.72,0.0329,0.3726,False,False
05089,16905.0,0.787,0.035,0.272,False,False
05091,42682.0,1.0,0.025,0.1173,False,False
05093,40361.0,1.0,0.0284,0.1438,False,False
05095,6787.0,0.7,0.0456,0.2561,False,False
05097,8555.0,0.7,0.0491,0.2285,False,False
05099,8292.0,0.6,0.0864,0.4013,False,False
05101,7243.0,0.6,0.0571,0.3184,False,False
05103,22606.0,0.791,0.0367,0.2377,False,False
05105,10055.0,0.743,0.0405,0.3951,False,False
05107,16373.0,0.85,0.0425,0.1376,False,False
05109,10205.0,0.725,0.0392,0.2969,False,False
05111,22997.0,0.85,0.0247,0.1743,False,False
05113,19384.0,0.846,0.0355,0.2451,False,False
05115,63475.0,1.0,0.0189,0.1336,False,False
05117,8217.0,0.613,0.0529,0.3556,False,False
05119,398322.0,1.0,0.0079,0.0472,False,False
05121,18619.0,0.8,0.0448,0.2643,False,False
05123,23138.0,0.85,0.0354,0.1425,False,False
05125,123988.0,1.0,0.0119,0.1187,False,False
05127,9871.0,0.684,0.0543,0.2315,False,False
05129,7880.0,0.63,0.0487,0.3546,False,False
05131,128184.0,1.0,0.0138,0.0881,False,False
05133,15913.0,0.777,0.0435,0.2902,False,False
05135,17422.0,0.738,0.041,0.2878,False,False
05137,12393.0,0.724,0.0659,0.3421,False,False
05139,38815.0,0.967,0.0246,0.1466,False,False
05141,15900.0,0.731,0.0417,0.2804,False,False
05143,247331.0,1.0,0.0091,0.0574,False,False
05145,77118.0,1.0,0.0173,0.1137,False,False
05147,6259.0,0.662,0.0628,0.2695,False,False
05149,20342.0,0.77,0.037,0.2694,False,False
06001,1663823.0,1.0,0.0024,0.018,False,False
06003,1515.0,0.437,0.1177,0.6079,True,False
06005,40577.0,0.949,0.0252,0.1987,False,False
06007,213605.0,1.0,0.0093,0.046,False,False
06009,45674.0,0.976,0.0273,0.1791,False,False
06011,21811.0,0.85,0.0284,0.1836,False,False
06013,1162648.0,1.0,0.0025,0.0255,False,False
06015,27462.0,0.996,0.0229,0.1542,False,False
