stcofips,risk_score,wfir_risks,cfld_risks,rfld_risks,hrcn_risks,trnd_risks,erqk_risks,sovi_score,resl_score,county,state,fips
21115,11.22594469,14.28853989,,22.84142753,1.87732582,8.99005921,1.95560761,34.45013796,51.128602,Johnson,Kentucky,21115
21117,16.0404291,0.0,,11.26865342,2.11937278,21.16905192,3.35042429,30.50847458,56.803002,Kenton,Kentucky,21117
21119,15.81024619,14.37427317,,13.16489782,1.19461836,6.65750075,2.28406168,38.62830114,48.523402,Knott,Kentucky,21119
21121,13.28070134,21.16647028,,25.13295902,1.87287385,9.90300036,4.38926351,43.63421364,50.953798,Knox,Kentucky,21121
21123,5.9708749,0.23273317,,6.07256863,1.04580746,6.51348201,2.04393571,31.53330706,55.5158,Larue,Kentucky,21123
21125,13.4000235,20.91154294,,12.3806219,2.10797785,11.64854949,4.42082835,37.7611352,52.6094,Laurel,Kentucky,21125
21127,8.73421115,10.75708738,,15.73735903,1.67683202,3.9071928,1.48962503,35.90855341,51.117802,Lawrence,Kentucky,21127
21129,5.74409739,8.57390929,,10.14697987,1.12921746,5.91567307,1.08524859,29.28655893,48.291602,Lee,Kentucky,21129
21131,7.82943327,9.33090521,,11.67410191,1.26733319,5.53486158,2.42286491,39.77138352,49.014402,Leslie,Kentucky,21131
21133,12.79353412,13.02272751,,18.78342958,1.26286213,7.52178916,2.59391483,38.31296807,48.9928,Letcher,Kentucky,21133
21135,8.37743824,6.0221651,,16.32308607,1.88598434,8.17906058,1.40095818,41.19038234,51.3734,Lewis,Kentucky,21135
21137,8.83991398,2.97388138,,11.06331842,1.91077851,7.76953309,2.92595986,40.3232164,53.726602,Lincoln,Kentucky,21137
21139,11.18733514,0.48879051,,18.73477211,1.31613465,8.90918596,6.84020875,41.11154907,52.4332,Livingston,Kentucky,21139
21141,8.96882589,0.83576053,,10.35090407,1.25223326,7.64259922,4.84703815,35.4355538,53.656998,Logan,Kentucky,21141
21143,7.99553227,0.56818112,,6.96091919,0.96310569,8.03608412,4.42046131,29.91722507,50.595598,Lyon,Kentucky,21143
21145,21.24067804,1.23645507,,22.3488071,2.53767303,17.90652608,16.68014993,42.17579819,56.567798,McCracken,Kentucky,21145
21147,7.56805308,9.20350864,,5.04881554,1.2949875,5.63460799,2.33488023,33.26763894,49.050398,McCreary,Kentucky,21147
21149,8.83132191,0.0,,15.02012779,0.92187304,5.94156698,3.87096409,32.99172251,55.485802,McLean,Kentucky,21149
21151,12.29597296,5.37160881,,18.22517131,2.88901093,13.79483675,4.13402011,35.39613717,53.9004,Madison,Kentucky,21151
21153,8.51014971,13.56700003,,15.42947317,1.45334541,6.26869198,1.73283044,33.03113914,49.741202,Magoffin,Kentucky,21153
21155,7.07467925,0.7480248,,7.40770732,1.3834921,7.44048111,2.25118703,33.46472211,56.813598,Marion,Kentucky,21155
21157,13.05390065,1.18058842,,13.95494293,1.45633893,7.54847471,8.85139696,37.44580213,57.301002,Marshall,Kentucky,21157
21159,6.81470295,9.83878825,,13.09409835,1.13031533,5.19974163,1.03531001,25.02956248,47.871398,Martin,Kentucky,21159
21161,9.85095359,1.86834114,,11.97930332,1.7392218,10.48013554,2.65537325,40.75679937,55.587602,Mason,Kentucky,21161
21163,5.75407132,0.50537398,,4.6286312,0.88026057,4.73955861,2.3350501,23.57114702,54.9826,Meade,Kentucky,21163
21165,9.73606159,12.96396876,,14.92588292,1.70575205,8.74432417,1.3442241,44.61962948,51.237998,Menifee,Kentucky,21165
21167,9.6510886,0.85609095,,9.99688211,1.72991351,11.30961088,2.66569457,37.24871896,56.441398,Mercer,Kentucky,21167
