country_name,year,stability,common_count,common_peers
Argentina,1820,100,3,"Canada,Ireland,Norway"
Argentina,1850,100,3,"Portugal,Spain,Venezuela"
Argentina,1860,100,3,"Italy,Spain,Venezuela"
Argentina,1870,100,3,"Cuba,Italy,Russia"
Argentina,1880,67,2,"Italy,Spain"
Argentina,1890,100,3,"Cuba,Italy,Uruguay"
Argentina,1900,67,2,"Cuba,Italy"
Argentina,1910,100,3,"Belgium,Italy,Uruguay"
Argentina,1920,67,2,"Italy,Uruguay"
Argentina,1930,67,2,"Italy,Uruguay"
Argentina,1940,100,3,"Belgium,Italy,Japan"
Argentina,1950,100,3,"Belgium,Finland,Italy"
Argentina,1960,100,3,"Finland,Italy,Russia"
Argentina,1970,67,2,"Ireland,Russia"
Argentina,1980,100,3,"Ireland,Portugal,Uruguay"
Argentina,1990,100,3,"Jamaica,Mexico,Uruguay"
Argentina,2000,67,2,"Mexico,Uruguay"
Australia,1850,67,2,"Hungary,United States"
Australia,1860,67,2,"United Kingdom,United States"
Australia,1870,67,2,"Belgium,United Kingdom"
Australia,1880,67,2,"Hungary,United Kingdom"
Australia,1890,100,3,"Belgium,United Kingdom,United States"
Australia,1900,100,3,"Belgium,Netherlands,United Kingdom"
Australia,1910,67,2,"Switzerland,United Kingdom"
Australia,1920,100,3,"Netherlands,Switzerland,United Kingdom"
Australia,1930,100,3,"Germany,Netherlands,United Kingdom"
Australia,1940,67,2,"Germany,Switzerland"
Australia,1950,100,3,"Canada,Switzerland,United Kingdom"
Australia,1960,100,3,"Canada,Germany,United Kingdom"
Australia,1970,67,2,"Germany,United Kingdom"
Australia,1980,100,3,"Germany,Japan,United Kingdom"
Australia,1990,100,3,"Germany,Japan,United Kingdom"
Australia,2000,100,3,"Germany,Japan,United Kingdom"
Belgium,1820,100,3,"Denmark,Italy,United States"
Belgium,1850,100,3,"Denmark,France,Italy"
Belgium,1860,67,2,"France,Uruguay"
Belgium,1870,67,2,"Australia,United States"
Belgium,1880,67,2,"Netherlands,United Kingdom"
Belgium,1890,67,2,"Netherlands,United States"
Belgium,1900,33,1,Ireland
Belgium,1910,67,2,"Denmark,Netherlands"
Belgium,1920,67,2,"Denmark,Ireland"
Belgium,1930,100,3,"Denmark,France,Sweden"
Belgium,1940,33,1,Argentina
Belgium,1950,100,3,"Argentina,Finland,Norway"
Belgium,1960,67,2,"Finland,France"
Belgium,1970,67,2,"Finland,Italy"
Belgium,1980,67,2,"Finland,Netherlands"
Belgium,1990,100,3,"Finland,Italy,Netherlands"
Belgium,2000,67,2,"Finland,Italy"
Bolivia,1880,67,2,"Brazil,Peru"
Bolivia,1890,100,3,"Brazil,Colombia,Russia"
Bolivia,1900,100,3,"China,South Africa,South Korea"
Bolivia,1910,67,2,"Russia,South Africa"
Bolivia,1920,67,2,"Colombia,Jamaica"
Bolivia,1930,67,2,"Colombia,Russia"
Bolivia,1940,67,2,"Colombia,Poland"
Bolivia,1950,100,3,"China,Egypt,Peru"
Bolivia,1960,100,3,"China,Egypt,Indonesia"
Bolivia,1970,67,2,"Indonesia,Peru"
Bolivia,1980,100,3,"Egypt,Indonesia,Peru"
Bolivia,1990,100,3,"Indonesia,Peru,Philippines"
Bolivia,2000,67,2,"Egypt,Russia"
Brazil,1820,100,3,"Chile,China,Indonesia"
Brazil,1850,100,3,"Colombia,Jamaica,Poland"
Brazil,1860,100,3,"Colombia,Jamaica,Mexico"
Brazil,1870,67,2,"Indonesia,Jamaica"
Brazil,1880,100,3,"Bolivia,Colombia,Mexico"
Brazil,1890,100,3,"Bolivia,Indonesia,Russia"
Brazil,1900,67,2,"Colombia,Peru"
Brazil,1910,100,3,"China,Peru,South Korea"
Brazil,1920,100,3,"Peru,South Africa,South Korea"
Brazil,1930,100,3,"China,Egypt,South Korea"
Brazil,1940,67,2,"Egypt,Philippines"
Brazil,1950,67,2,"Colombia,Philippines"
Brazil,1960,100,3,"Colombia,Mexico,Philippines"
Brazil,1970,67,2,"Colombia,Philippines"
Brazil,1980,100,3,"Colombia,Mexico,Peru"
Brazil,1990,100,3,"Colombia,Egypt,Peru"
Brazil,2000,100,3,"Colombia,Egypt,Uruguay"
Canada,1820,100,3,"Argentina,Ireland,Norway"
Canada,1850,67,2,"Germany,Ireland"
Canada,1860,67,2,"Germany,Greece"
Canada,1870,100,3,"Germany,Norway,Switzerland"
Canada,1880,67,2,"Germany,Norway"
Canada,1890,67,2,"France,Germany"
Canada,1900,100,3,"Denmark,France,Germany"
Canada,1910,100,3,"Denmark,Germany,Switzerland"
Canada,1920,67,2,"France,Switzerland"
Canada,1930,67,2,"France,Germany"
Canada,1940,67,2,"Germany,Switzerland"
Canada,1950,100,3,"Australia,Denmark,Switzerland"
Canada,1960,67,2,"Denmark,Germany"
Canada,1970,100,3,"Denmark,Netherlands,Sweden"
Canada,1980,100,3,"France,Norway,Sweden"
Canada,1990,67,2,"Norway,Sweden"
Canada,2000,100,3,"Denmark,France,Germany"
Chile,1820,100,3,"Brazil,China,Indonesia"
Chile,1850,100,3,"Egypt,Greece,Venezuela"
Chile,1860,67,2,"Spain,Venezuela"
Chile,1870,67,2,"Russia,Venezuela"
Chile,1880,100,3,"Japan,Mexico,Venezuela"
Chile,1890,67,2,"Uruguay,Venezuela"
Chile,1900,33,1,Cuba
Chile,1910,67,2,"Mexico,South Korea"
Chile,1920,67,2,"Mexico,Poland"
Chile,1930,67,2,"Greece,Japan"
Chile,1940,67,2,"Hungary,Japan"
Chile,1950,67,2,"Argentina,Russia"
Chile,1960,67,2,"Colombia,South Africa"
Chile,1970,67,2,"Mexico,Uruguay"
Chile,1980,67,2,"Russia,Uruguay"
Chile,1990,67,2,"Russia,Uruguay"
Chile,2000,33,1,Uruguay
China,1820,100,3,"Brazil,Chile,Mexico"
China,1850,67,2,"Jamaica,Poland"
China,1860,100,3,"Australia,Belgium,United Kingdom"
China,1870,67,2,"Indonesia,South Korea"
China,1880,67,2,"Jamaica,South Africa"
China,1890,67,2,"Bolivia,Russia"
China,1900,33,1,Jamaica
China,1910,100,3,"Brazil,Finland,Peru"
China,1930,100,3,"Brazil,India,South Korea"
China,1950,67,2,"Egypt,South Korea"
China,1960,67,2,"India,Indonesia"
China,1970,100,3,"Cuba,Philippines,South Korea"
China,1980,67,2,"Jamaica,Philippines"
China,1990,33,1,Poland
China,2000,33,1,Peru
Colombia,1850,67,2,"Brazil,Jamaica"
Colombia,1860,100,3,"Brazil,Jamaica,Mexico"
Colombia,1870,67,2,"Jamaica,South Korea"
Colombia,1880,100,3,"Brazil,Mexico,Russia"
Colombia,1890,33,1,Russia
Colombia,1900,100,3,"Brazil,South Africa,South Korea"
Colombia,1910,67,2,"South Korea,Venezuela"
Colombia,1920,100,3,"Bolivia,South Korea,Venezuela"
Colombia,1930,67,2,"Bolivia,Russia"
Colombia,1940,100,3,"Bolivia,Russia,South Africa"
Colombia,1950,67,2,"Brazil,Mexico"
Colombia,1960,67,2,"Brazil,Mexico"
Colombia,1970,67,2,"Brazil,Mexico"
Colombia,1980,100,3,"Brazil,Mexico,Peru"
Colombia,1990,100,3,"Brazil,Mexico,Peru"
Colombia,2000,67,2,"Brazil,Peru"
Cuba,1850,67,2,"Chile,Portugal"
Cuba,1870,100,3,"Argentina,Italy,Portugal"
Cuba,1880,100,3,"Argentina,Italy,Portugal"
Cuba,1890,100,3,"Argentina,Italy,Portugal"
Cuba,1900,100,3,"Chile,Portugal,Russia"
Cuba,1910,67,2,"Portugal,Russia"
Cuba,1920,100,3,"Mexico,Portugal,Spain"
Cuba,1930,100,3,"Portugal,Russia,South Korea"
Cuba,1940,33,1,South Korea
Cuba,1950,67,2,"Jamaica,Portugal"
Cuba,1960,67,2,"Jamaica,Portugal"
Cuba,1970,67,2,"Jamaica,Poland"
Cuba,1980,67,2,"Jamaica,Poland"
Cuba,1990,33,1,Uruguay
Cuba,2000,0,0,
Denmark,1820,67,2,"France,Portugal"
Denmark,1840,67,2,"France,Sweden"
Denmark,1850,100,3,"France,Switzerland,Uruguay"
Denmark,1860,100,3,"Germany,Switzerland,Uruguay"
Denmark,1870,67,2,"Canada,Germany"
Denmark,1880,67,2,"France,Germany"
Denmark,1890,67,2,"Canada,Germany"
Denmark,1900,33,1,Germany
Denmark,1910,67,2,"Germany,Ireland"
Denmark,1920,100,3,"Belgium,Ireland,Netherlands"
Denmark,1930,67,2,"Belgium,Netherlands"
Denmark,1940,67,2,"Netherlands,Sweden"
Denmark,1950,67,2,"Netherlands,Sweden"
Denmark,1960,67,2,"Canada,Sweden"
Denmark,1970,100,3,"Canada,Netherlands,Sweden"
Denmark,1980,67,2,"Canada,France"
Denmark,1990,67,2,"Finland,Norway"
Denmark,2000,67,2,"Canada,France"
Egypt,1820,100,3,"Indonesia,Japan,Peru"
Egypt,1850,100,3,"Chile,Denmark,France"
Egypt,1870,67,2,"Brazil,Jamaica"
Egypt,1880,67,2,"Brazil,Philippines"
Egypt,1890,100,3,"Brazil,Philippines,Poland"
Egypt,1900,67,2,"Brazil,Philippines"
Egypt,1910,100,3,"Brazil,Peru,Philippines"
Egypt,1920,67,2,"Brazil,Peru"
Egypt,1930,100,3,"Brazil,China,Mexico"
Egypt,1940,100,3,"Brazil,Peru,Philippines"
Egypt,1950,100,3,"Bolivia,China,India"
Egypt,1960,67,2,"China,Indonesia"
Egypt,1970,67,2,"India,Indonesia"
Egypt,1980,67,2,"Indonesia,Philippines"
Egypt,1990,100,3,"Brazil,Philippines,South Africa"
Egypt,2000,100,3,"Brazil,Indonesia,Philippines"
Finland,1850,100,3,"Greece,Norway,Sweden"
Finland,1860,100,3,"Peru,Poland,South Africa"
Finland,1870,100,3,"Greece,Russia,South Africa"
Finland,1880,67,2,"China,Greece"
Finland,1890,100,3,"Greece,South Africa,South Korea"
Finland,1900,67,2,"Poland,South Korea"
Finland,1910,100,3,"China,Greece,Russia"
Finland,1920,67,2,"Greece,Poland"
Finland,1930,67,2,"Greece,Poland"
Finland,1940,67,2,"Hungary,Japan"
Finland,1950,67,2,"Argentina,Belgium"
Finland,1960,100,3,"Argentina,Belgium,France"
Finland,1970,67,2,"Belgium,Italy"
Finland,1980,67,2,"Belgium,France"
Finland,1990,100,3,"Belgium,Denmark,Netherlands"
Finland,2000,67,2,"Belgium,Netherlands"
France,1820,67,2,"Denmark,Portugal"
France,1830,33,1,Sweden
France,1840,67,2,"Denmark,Sweden"
France,1850,100,3,"Denmark,Germany,Uruguay"
France,1860,67,2,"Switzerland,Uruguay"
France,1870,33,1,Germany
France,1880,67,2,"Denmark,Germany"
France,1890,67,2,"Canada,Germany"
France,1900,67,2,"Canada,Germany"
France,1910,100,3,"Belgium,Germany,Sweden"
France,1920,67,2,"Canada,Germany"
France,1930,100,3,"Belgium,Canada,Germany"
France,1940,67,2,"Belgium,Ireland"
France,1950,33,1,Germany
France,1960,100,3,"Belgium,Germany,Netherlands"
France,1970,100,3,"Canada,Germany,Sweden"
France,1980,67,2,"Denmark,Norway"
France,1990,67,2,"Norway,Sweden"
France,2000,33,1,Sweden
Germany,1850,100,3,"Canada,France,Uruguay"
Germany,1860,100,3,"Canada,Denmark,Switzerland"
Germany,1870,100,3,"Canada,Denmark,Switzerland"
Germany,1880,100,3,"Canada,Denmark,France"
Germany,1890,100,3,"Canada,Denmark,France"
Germany,1900,100,3,"Canada,Denmark,France"
Germany,1910,100,3,"Canada,Denmark,France"
Germany,1920,67,2,"France,Norway"
Germany,1930,33,1,France
Germany,1940,67,2,"Canada,Denmark"
Germany,1950,100,3,"France,Ireland,Norway"
Germany,1960,100,3,"Canada,France,United Kingdom"
Germany,1970,100,3,"France,Japan,United Kingdom"
Germany,1980,100,3,"Denmark,France,United Kingdom"
Germany,1990,33,1,United Kingdom
Germany,2000,67,2,"Canada,United Kingdom"
Greece,1850,100,3,"Finland,Norway,Sweden"
Greece,1860,100,3,"Canada,Norway,Sweden"
Greece,1870,100,3,"Finland,Russia,Venezuela"
Greece,1880,100,3,"Finland,Poland,Venezuela"
Greece,1890,100,3,"Finland,Poland,Venezuela"
Greece,1900,67,2,"Japan,Venezuela"
Greece,1910,100,3,"Finland,Japan,Poland"
Greece,1920,100,3,"Finland,Japan,Poland"
Greece,1930,67,2,"Finland,Japan"
Greece,1940,33,1,Hungary
Greece,1950,67,2,"Hungary,Spain"
Greece,1960,67,2,"Jamaica,Russia"
Greece,1970,67,2,"Ireland,Spain"
Greece,1980,67,2,"Ireland,Spain"
Greece,1990,67,2,"Ireland,Spain"
Greece,2000,33,1,Spain
Hungary,1850,100,3,"Brazil,Mexico,Philippines"
Hungary,1870,33,1,Venezuela
Hungary,1880,100,3,"Ireland,Spain,Uruguay"
Hungary,1890,100,3,"Ireland,Poland,Spain"
Hungary,1900,67,2,"Ireland,Spain"
Hungary,1910,100,3,"Ireland,Japan,Spain"
Hungary,1920,100,3,"Ireland,Japan,Spain"
Hungary,1930,67,2,"Japan,Spain"
Hungary,1940,67,2,"Chile,Japan"
Hungary,1950,100,3,"Japan,Russia,Spain"
Hungary,1960,100,3,"Japan,Russia,Spain"
Hungary,1970,67,2,"Ireland,Russia"
Hungary,1980,100,3,"Poland,Russia,Uruguay"
Hungary,1990,100,3,"Poland,Russia,Uruguay"
Hungary,2000,67,2,"Poland,Uruguay"
India,1850,100,3,"Jamaica,Poland,South Africa"
India,1870,100,3,"China,Indonesia,Jamaica"
India,1880,100,3,"Jamaica,Peru,Philippines"
India,1890,100,3,"Bolivia,Brazil,China"
India,1900,67,2,"China,Peru"
India,1910,33,1,Philippines
India,1920,67,2,"Brazil,Philippines"
India,1930,100,3,"Brazil,China,Philippines"
India,1940,100,3,"Brazil,Egypt,Philippines"
India,1950,100,3,"Bolivia,China,Egypt"
India,1960,100,3,"China,Egypt,Indonesia"
India,1970,100,3,"Bolivia,Egypt,Indonesia"
India,1980,100,3,"Bolivia,Egypt,Indonesia"
India,1990,100,3,"Bolivia,Egypt,Indonesia"
India,2000,100,3,"Egypt,Indonesia,Philippines"
Indonesia,1820,100,3,"Brazil,Chile,Peru"
Indonesia,1850,100,3,"Brazil,India,Peru"
Indonesia,1870,100,3,"Brazil,China,India"
Indonesia,1890,100,3,"Brazil,Jamaica,Peru"
Indonesia,1910,67,2,"Peru,Philippines"
Indonesia,1950,100,3,"Egypt,Peru,South Africa"
Indonesia,1960,100,3,"Bolivia,Egypt,India"
Indonesia,1970,67,2,"Egypt,India"
Indonesia,1980,100,3,"Egypt,India,Philippines"
Indonesia,1990,67,2,"Peru,Philippines"
Indonesia,2000,67,2,"Egypt,Philippines"
Ireland,1820,100,3,"Argentina,Canada,Norway"
Ireland,1850,100,3,"Canada,China,Philippines"
Ireland,1870,67,2,"Hungary,Uruguay"
Ireland,1880,67,2,"Hungary,Sweden"
Ireland,1890,100,3,"Hungary,Poland,Spain"
Ireland,1900,100,3,"Belgium,Denmark,Hungary"
Ireland,1910,100,3,"Denmark,Hungary,Norway"
Ireland,1920,100,3,"Belgium,Denmark,Hungary"
Ireland,1930,67,2,"Hungary,Norway"
Ireland,1940,67,2,"Hungary,Japan"
Ireland,1950,100,3,"Germany,Hungary,Italy"
Ireland,1960,67,2,"Japan,Russia"
Ireland,1970,33,1,Russia
Ireland,1980,100,3,"Argentina,Greece,Spain"
Ireland,1990,67,2,"Greece,Spain"
Ireland,2000,67,2,"Denmark,Italy"
Italy,1820,100,3,"Belgium,Denmark,United States"
Italy,1850,100,3,"Belgium,France,Uruguay"
Italy,1860,100,3,"Argentina,Spain,Uruguay"
Italy,1870,100,3,"Argentina,Cuba,Uruguay"
Italy,1880,100,3,"Argentina,Cuba,Spain"
Italy,1890,100,3,"Chile,Cuba,Uruguay"
Italy,1900,33,1,Uruguay
Italy,1910,33,1,Uruguay
Italy,1920,67,2,"Spain,Uruguay"
Italy,1930,67,2,"Hungary,Spain"
Italy,1940,33,1,Uruguay
Italy,1950,0,0,
Italy,1960,67,2,"Argentina,Uruguay"
Italy,1970,100,3,"Argentina,Belgium,Finland"
Italy,1980,67,2,"Belgium,Finland"
Italy,1990,100,3,"Belgium,Finland,Netherlands"
Italy,2000,33,1,Belgium
Jamaica,1850,100,3,"China,Peru,Poland"
Jamaica,1860,67,2,"Brazil,Colombia"
Jamaica,1870,67,2,"China,Philippines"
Jamaica,1880,100,3,"Bolivia,China,Peru"
Jamaica,1890,67,2,"Indonesia,South Korea"
Jamaica,1900,67,2,"China,South Korea"
Jamaica,1910,100,3,"China,Greece,South Korea"
Jamaica,1920,100,3,"Bolivia,Colombia,Poland"
Jamaica,1930,100,3,"Peru,Poland,South Africa"
Jamaica,1940,100,3,"Philippines,Poland,South Africa"
Jamaica,1950,100,3,"Cuba,Philippines,Poland"
Jamaica,1960,100,3,"Cuba,Greece,Poland"
Jamaica,1970,67,2,"Poland,Portugal"
Jamaica,1980,67,2,"Cuba,Poland"
Jamaica,1990,67,2,"Argentina,Poland"
Jamaica,2000,67,2,"Indonesia,Philippines"
Japan,1820,33,1,Sweden
Japan,1850,100,3,"Greece,Switzerland,Venezuela"
Japan,1870,67,2,"Russia,Venezuela"
Japan,1880,100,3,"Colombia,Mexico,Venezuela"
Japan,1890,100,3,"Mexico,Russia,South Korea"
Japan,1900,100,3,"Finland,Greece,Poland"
Japan,1910,100,3,"Greece,Hungary,Russia"
Japan,1920,100,3,"Greece,Hungary,Spain"
Japan,1930,67,2,"Greece,Hungary"
Japan,1940,100,3,"Chile,Hungary,Ireland"
Japan,1950,100,3,"Hungary,Russia,Spain"
Japan,1960,100,3,"Hungary,Ireland,Russia"
Japan,1970,67,2,"Germany,United Kingdom"
Japan,1980,100,3,"Australia,Netherlands,United Kingdom"
Japan,1990,100,3,"Australia,Netherlands,United Kingdom"
Japan,2000,100,3,"Australia,Germany,United Kingdom"
Mexico,1820,100,3,"Brazil,China,Poland"
Mexico,1850,100,3,"Brazil,Colombia,Hungary"
Mexico,1860,100,3,"Brazil,Colombia,Jamaica"
Mexico,1870,67,2,"Jamaica,Philippines"
Mexico,1880,100,3,"Brazil,Colombia,Japan"
Mexico,1890,100,3,"Bolivia,Colombia,Russia"
Mexico,1900,67,2,"Bolivia,South Africa"
Mexico,1910,100,3,"Russia,South Korea,Venezuela"
Mexico,1920,67,2,"Colombia,Venezuela"
Mexico,1930,33,1,South Korea
Mexico,1940,67,2,"Peru,South Korea"
Mexico,1950,100,3,"Brazil,Colombia,South Africa"
Mexico,1960,100,3,"Brazil,Colombia,Portugal"
Mexico,1970,100,3,"Brazil,Colombia,Peru"
Mexico,1980,67,2,"Colombia,Uruguay"
Mexico,1990,100,3,"Argentina,Colombia,Uruguay"
Mexico,2000,100,3,"Argentina,Peru,Uruguay"
Netherlands,1820,100,3,"Belgium,Italy,United States"
Netherlands,1830,33,1,United Kingdom
Netherlands,1840,33,1,United Kingdom
Netherlands,1850,67,2,"Belgium,United Kingdom"
Netherlands,1860,67,2,"United Kingdom,Uruguay"
Netherlands,1870,33,1,Belgium
Netherlands,1880,100,3,"Belgium,France,United Kingdom"
Netherlands,1890,33,1,Belgium
Netherlands,1900,100,3,"Australia,Belgium,Denmark"
Netherlands,1910,100,3,"Belgium,Denmark,United Kingdom"
Netherlands,1920,67,2,"Denmark,United Kingdom"
Netherlands,1930,100,3,"Australia,Denmark,United Kingdom"
Netherlands,1940,67,2,"Denmark,Sweden"
Netherlands,1950,100,3,"Denmark,Norway,Sweden"
Netherlands,1960,67,2,"France,Sweden"
Netherlands,1970,100,3,"Canada,Denmark,Sweden"
Netherlands,1980,33,1,Norway
Netherlands,1990,100,3,"Belgium,Finland,Italy"
Netherlands,2000,67,2,"Belgium,Finland"
Norway,1820,100,3,"Argentina,Canada,Ireland"
Norway,1850,67,2,"Finland,Greece"
Norway,1860,100,3,"Finland,Greece,Sweden"
Norway,1870,100,3,"Canada,Germany,Switzerland"
Norway,1880,100,3,"Canada,Germany,Poland"
Norway,1890,100,3,"Canada,Germany,Poland"
Norway,1900,67,2,"Poland,Sweden"
Norway,1910,67,2,"Ireland,Sweden"
Norway,1920,33,1,Sweden
Norway,1930,100,3,"Germany,Ireland,Sweden"
Norway,1940,100,3,"Denmark,Netherlands,Sweden"
Norway,1950,67,2,"Netherlands,Sweden"
Norway,1960,67,2,"Denmark,Sweden"
Norway,1970,33,1,Canada
Norway,1980,100,3,"Canada,France,Sweden"
Norway,1990,100,3,"Canada,Denmark,Sweden"
Norway,2000,100,3,"Denmark,Switzerland,United States"
Peru,1820,67,2,"Egypt,Indonesia"
Peru,1850,100,3,"Indonesia,Jamaica,South Africa"
Peru,1860,100,3,"Finland,Poland,South Africa"
Peru,1870,33,1,Russia
Peru,1880,100,3,"Bolivia,Jamaica,Philippines"
Peru,1890,33,1,Indonesia
Peru,1900,100,3,"Brazil,India,Philippines"
Peru,1910,100,3,"Brazil,Indonesia,Philippines"
Peru,1920,67,2,"Philippines,South Africa"
