country_name,iso3,year,scheme,peer_rank,peer_name,peer_iso3,distance,similarity_pct,shared_vars
Argentina,ARG,1820,A,1,Canada,CAN,6.15,93.9,2
Argentina,ARG,1820,A,2,Ireland,IRL,7.906,92.1,2
Argentina,ARG,1820,A,3,Norway,NOR,9.005,91.0,2
Argentina,ARG,1820,A,4,Portugal,PRT,12.314,87.7,2
Argentina,ARG,1820,A,5,Japan,JPN,13.431,86.6,2
Argentina,ARG,1850,A,1,Spain,ESP,7.643,92.4,2
Argentina,ARG,1850,A,2,Canada,CAN,8.989,91.0,2
Argentina,ARG,1850,A,3,Norway,NOR,11.581,88.4,2
Argentina,ARG,1850,A,4,Portugal,PRT,12.996,87.0,2
Argentina,ARG,1850,A,5,Sweden,SWE,16.582,83.4,2
Argentina,ARG,1870,A,1,Greece,GRC,6.952,93.0,3
Argentina,ARG,1870,A,2,Finland,FIN,8.236,91.8,3
Argentina,ARG,1870,A,3,Italy,ITA,9.53,90.5,3
Argentina,ARG,1870,A,4,Venezuela,VEN,10.05,89.9,2
Argentina,ARG,1870,A,5,Russia,RUS,13.407,86.6,2
Argentina,ARG,1880,A,1,Spain,ESP,3.588,96.4,2
Argentina,ARG,1880,A,2,Italy,ITA,3.65,96.3,3
Argentina,ARG,1880,A,3,Chile,CHL,5.649,94.4,2
Argentina,ARG,1880,A,4,South Africa,ZAF,6.021,94.0,2
Argentina,ARG,1880,A,5,Venezuela,VEN,6.943,93.1,2
Argentina,ARG,1890,A,1,Uruguay,URY,3.192,96.8,2
Argentina,ARG,1890,A,2,Venezuela,VEN,16.032,84.0,2
Argentina,ARG,1890,A,3,Italy,ITA,17.57,82.4,4
Argentina,ARG,1890,A,4,Chile,CHL,17.738,82.3,3
Argentina,ARG,1890,A,5,Philippines,PHL,23.468,76.5,2
Argentina,ARG,1900,A,1,Italy,ITA,13.526,86.5,3
Argentina,ARG,1900,A,2,Finland,FIN,18.93,81.1,3
Argentina,ARG,1900,A,3,Cuba,CUB,20.688,79.3,2
Argentina,ARG,1900,A,4,Spain,ESP,20.811,79.2,3
Argentina,ARG,1900,A,5,Hungary,HUN,22.146,77.9,3
