country_name,iso3,year,scheme,peer_rank,peer_name,peer_iso3,distance,similarity_pct,shared_vars
Argentina,ARG,1820,B,1,Canada,CAN,6.129,93.9,2
Argentina,ARG,1820,B,2,Ireland,IRL,7.881,92.1,2
Argentina,ARG,1820,B,3,Norway,NOR,8.893,91.1,2
Argentina,ARG,1820,B,4,Portugal,PRT,11.307,88.7,2
Argentina,ARG,1820,B,5,Spain,ESP,12.54,87.5,2
Argentina,ARG,1850,B,1,Venezuela,VEN,6.746,93.3,2
Argentina,ARG,1850,B,2,Spain,ESP,7.286,92.7,3
Argentina,ARG,1850,B,3,Portugal,PRT,13.102,86.9,3
Argentina,ARG,1850,B,4,Uruguay,URY,14.54,85.5,2
Argentina,ARG,1850,B,5,Hungary,HUN,15.15,84.8,2
Argentina,ARG,1860,B,1,Spain,ESP,5.06,94.9,2
Argentina,ARG,1860,B,2,Italy,ITA,8.236,91.8,2
Argentina,ARG,1860,B,3,Venezuela,VEN,10.475,89.5,2
Argentina,ARG,1860,B,4,Chile,CHL,15.171,84.8,2
Argentina,ARG,1860,B,5,Canada,CAN,16.568,83.4,2
Argentina,ARG,1870,B,1,Italy,ITA,8.965,91.0,4
Argentina,ARG,1870,B,2,Cuba,CUB,13.766,86.2,2
Argentina,ARG,1870,B,3,Russia,RUS,13.911,86.1,2
Argentina,ARG,1870,B,4,Portugal,PRT,14.3,85.7,4
Argentina,ARG,1870,B,5,Venezuela,VEN,15.028,85.0,3
Argentina,ARG,1880,B,1,Spain,ESP,3.457,96.5,3
Argentina,ARG,1880,B,2,Italy,ITA,3.696,96.3,4
Argentina,ARG,1880,B,3,Cuba,CUB,10.021,90.0,2
Argentina,ARG,1880,B,4,Chile,CHL,10.517,89.5,3
Argentina,ARG,1880,B,5,Uruguay,URY,12.799,87.2,3
Argentina,ARG,1890,B,1,Uruguay,URY,3.906,96.1,3
Argentina,ARG,1890,B,2,Cuba,CUB,8.807,91.2,2
Argentina,ARG,1890,B,3,Italy,ITA,15.428,84.6,5
Argentina,ARG,1890,B,4,Chile,CHL,19.619,80.4,4
Argentina,ARG,1890,B,5,Venezuela,VEN,21.944,78.1,3
Argentina,ARG,1900,B,1,Italy,ITA,14.472,85.5,4
Argentina,ARG,1900,B,2,Cuba,CUB,18.387,81.6,3
Argentina,ARG,1900,B,3,Uruguay,URY,20.078,79.9,4
Argentina,ARG,1900,B,4,Spain,ESP,21.9,78.1,4
Argentina,ARG,1900,B,5,Chile,CHL,22.286,77.7,4
Argentina,ARG,1910,B,1,Uruguay,URY,18.191,81.8,4
Argentina,ARG,1910,B,2,Belgium,BEL,18.751,81.2,5
Argentina,ARG,1910,B,3,Italy,ITA,18.975,81.0,5
Argentina,ARG,1910,B,4,Netherlands,NLD,24.034,76.0,5
Argentina,ARG,1910,B,5,Chile,CHL,25.832,74.2,5
Argentina,ARG,1920,B,1,Italy,ITA,14.695,85.3,4
Argentina,ARG,1920,B,2,Belgium,BEL,16.712,83.3,4
Argentina,ARG,1920,B,3,Uruguay,URY,17.654,82.3,4
Argentina,ARG,1920,B,4,Denmark,DNK,21.187,78.8,4
Argentina,ARG,1920,B,5,Spain,ESP,21.758,78.2,4
Argentina,ARG,1930,B,1,Uruguay,URY,11.616,88.4,4
Argentina,ARG,1930,B,2,Italy,ITA,15.093,84.9,4
Argentina,ARG,1930,B,3,Belgium,BEL,17.973,82.0,4
