country_name,iso3,year,scheme,peer_rank,peer_name,peer_iso3,distance,similarity_pct,shared_vars
Argentina,ARG,1820,C,1,Canada,CAN,6.203,93.8,2
Argentina,ARG,1820,C,2,Ireland,IRL,7.972,92.0,2
Argentina,ARG,1820,C,3,Norway,NOR,9.286,90.7,2
Argentina,ARG,1820,C,4,Japan,JPN,14.346,85.7,2
Argentina,ARG,1820,C,5,Portugal,PRT,14.588,85.4,2
Argentina,ARG,1850,C,1,Spain,ESP,7.454,92.5,2
Argentina,ARG,1850,C,2,Canada,CAN,10.498,89.5,2
Argentina,ARG,1850,C,3,Norway,NOR,12.094,87.9,2
Argentina,ARG,1850,C,4,Portugal,PRT,12.282,87.7,2
Argentina,ARG,1850,C,5,Sweden,SWE,19.161,80.8,2
Argentina,ARG,1870,C,1,Greece,GRC,6.129,93.9,3
Argentina,ARG,1870,C,2,Finland,FIN,6.935,93.1,3
Argentina,ARG,1870,C,3,Venezuela,VEN,9.106,90.9,2
Argentina,ARG,1870,C,4,Italy,ITA,9.731,90.3,3
Argentina,ARG,1870,C,5,Russia,RUS,12.42,87.6,2
Argentina,ARG,1880,C,1,Italy,ITA,3.661,96.3,3
Argentina,ARG,1880,C,2,Spain,ESP,4.558,95.4,2
Argentina,ARG,1880,C,3,Greece,GRC,6.123,93.9,2
Argentina,ARG,1880,C,4,South Africa,ZAF,6.854,93.1,2
Argentina,ARG,1880,C,5,Chile,CHL,6.983,93.0,2
Argentina,ARG,1890,C,1,Uruguay,URY,2.932,97.1,2
Argentina,ARG,1890,C,2,Venezuela,VEN,13.973,86.0,2
Argentina,ARG,1890,C,3,Chile,CHL,16.969,83.0,3
Argentina,ARG,1890,C,4,Italy,ITA,17.815,82.2,4
Argentina,ARG,1890,C,5,Japan,JPN,21.029,79.0,4
Argentina,ARG,1900,C,1,Italy,ITA,11.525,88.5,3
Argentina,ARG,1900,C,2,Finland,FIN,15.706,84.3,3
Argentina,ARG,1900,C,3,Japan,JPN,18.125,81.9,3
Argentina,ARG,1900,C,4,Spain,ESP,18.677,81.3,3
Argentina,ARG,1900,C,5,Cuba,CUB,20.021,80.0,2
Argentina,ARG,1910,C,1,Italy,ITA,14.27,85.7,4
Argentina,ARG,1910,C,2,Uruguay,URY,18.883,81.1,3
Argentina,ARG,1910,C,3,Jamaica,JAM,23.107,76.9,3
Argentina,ARG,1910,C,4,Japan,JPN,23.583,76.4,4
Argentina,ARG,1910,C,5,Finland,FIN,24.01,76.0,4
Argentina,ARG,1920,C,1,Italy,ITA,11.387,88.6,3
Argentina,ARG,1920,C,2,Uruguay,URY,12.524,87.5,3
Argentina,ARG,1920,C,3,Finland,FIN,15.224,84.8,3
Argentina,ARG,1920,C,4,Japan,JPN,19.012,81.0,3
Argentina,ARG,1920,C,5,Greece,GRC,19.665,80.3,3
Argentina,ARG,1930,C,1,Uruguay,URY,6.205,93.8,3
Argentina,ARG,1930,C,2,Italy,ITA,11.464,88.5,3
Argentina,ARG,1930,C,3,Finland,FIN,12.79,87.2,3
Argentina,ARG,1930,C,4,Spain,ESP,15.398,84.6,3
Argentina,ARG,1930,C,5,Hungary,HUN,18.444,81.6,3
Argentina,ARG,1940,C,1,Italy,ITA,7.515,92.5,3
Argentina,ARG,1940,C,2,Uruguay,URY,9.643,90.4,3
Argentina,ARG,1940,C,3,Belgium,BEL,12.466,87.5,3
Argentina,ARG,1940,C,4,Greece,GRC,15.474,84.5,3
Argentina,ARG,1940,C,5,Japan,JPN,16.418,83.6,2
Argentina,ARG,1950,C,1,Uruguay,URY,7.892,92.1,3
Argentina,ARG,1950,C,2,Finland,FIN,8.592,91.4,4
Argentina,ARG,1950,C,3,Italy,ITA,10.31,89.7,4
Argentina,ARG,1950,C,4,Belgium,BEL,10.64,89.4,4
Argentina,ARG,1950,C,5,Russia,RUS,14.604,85.4,3
Argentina,ARG,1960,C,1,Uruguay,URY,8.591,91.4,3
