country_name,iso3,year,region,peer_rank,peer_name,peer_iso3,distance,similarity_pct,shared_vars
Argentina,ARG,1820,Latin America,1,Brazil,BRA,26.004,74.0,2
Argentina,ARG,1820,Latin America,2,Chile,CHL,27.549,72.5,2
Argentina,ARG,1820,Latin America,3,Peru,PER,31.283,68.7,2
Argentina,ARG,1850,Latin America,1,Brazil,BRA,28.207,71.8,2
Argentina,ARG,1850,Latin America,2,Peru,PER,29.455,70.5,2
Argentina,ARG,1850,Latin America,3,Chile,CHL,39.629,60.4,2
Argentina,ARG,1870,Latin America,1,Venezuela,VEN,10.05,89.9,2
Argentina,ARG,1870,Latin America,2,Chile,CHL,13.659,86.3,3
Argentina,ARG,1870,Latin America,3,Peru,PER,14.885,85.1,3
Argentina,ARG,1880,Latin America,1,Chile,CHL,5.649,94.4,2
Argentina,ARG,1880,Latin America,2,Venezuela,VEN,6.943,93.1,2
Argentina,ARG,1880,Latin America,3,Uruguay,URY,12.06,87.9,2
Argentina,ARG,1890,Latin America,1,Uruguay,URY,3.192,96.8,2
Argentina,ARG,1890,Latin America,2,Venezuela,VEN,16.032,84.0,2
Argentina,ARG,1890,Latin America,3,Chile,CHL,17.738,82.3,3
Argentina,ARG,1900,Latin America,1,Cuba,CUB,20.688,79.3,2
Argentina,ARG,1900,Latin America,2,Uruguay,URY,23.144,76.9,3
Argentina,ARG,1900,Latin America,3,Chile,CHL,23.285,76.7,3
Argentina,ARG,1910,Latin America,1,Uruguay,URY,19.38,80.6,3
Argentina,ARG,1910,Latin America,2,Jamaica,JAM,24.757,75.2,3
Argentina,ARG,1910,Latin America,3,Chile,CHL,29.035,71.0,4
Argentina,ARG,1920,Latin America,1,Uruguay,URY,15.05,85.0,3
Argentina,ARG,1920,Latin America,2,Jamaica,JAM,27.232,72.8,2
Argentina,ARG,1920,Latin America,3,Cuba,CUB,27.779,72.2,3
Argentina,ARG,1930,Latin America,1,Uruguay,URY,6.211,93.8,3
Argentina,ARG,1930,Latin America,2,Jamaica,JAM,19.427,80.6,2
Argentina,ARG,1930,Latin America,3,Chile,CHL,32.8,67.2,3
Argentina,ARG,1940,Latin America,1,Uruguay,URY,11.09,88.9,3
Argentina,ARG,1940,Latin America,2,Jamaica,JAM,24.659,75.3,2
Argentina,ARG,1940,Latin America,3,Chile,CHL,34.171,65.8,3
Argentina,ARG,1950,Latin America,1,Uruguay,URY,7.737,92.3,3
Argentina,ARG,1950,Latin America,2,Chile,CHL,15.849,84.2,4
Argentina,ARG,1950,Latin America,3,Venezuela,VEN,20.161,79.8,3
Argentina,ARG,1960,Latin America,1,Uruguay,URY,8.373,91.6,3
Argentina,ARG,1960,Latin America,2,Jamaica,JAM,18.566,81.4,4
Argentina,ARG,1960,Latin America,3,Venezuela,VEN,20.586,79.4,3
Argentina,ARG,1970,Latin America,1,Uruguay,URY,11.656,88.3,3
Argentina,ARG,1970,Latin America,2,Chile,CHL,15.072,84.9,4
Argentina,ARG,1970,Latin America,3,Venezuela,VEN,15.089,84.9,3
Argentina,ARG,1980,Latin America,1,Uruguay,URY,7.294,92.7,3
Argentina,ARG,1980,Latin America,2,Venezuela,VEN,13.132,86.9,3
Argentina,ARG,1980,Latin America,3,Chile,CHL,13.621,86.4,4
Argentina,ARG,1990,Latin America,1,Uruguay,URY,2.588,97.4,3
Argentina,ARG,1990,Latin America,2,Jamaica,JAM,9.119,90.9,4
Argentina,ARG,1990,Latin America,3,Chile,CHL,11.634,88.4,4
Argentina,ARG,2000,Latin America,1,Uruguay,URY,2.61,97.4,3
Argentina,ARG,2000,Latin America,2,Venezuela,VEN,11.163,88.8,3
Argentina,ARG,2000,Latin America,3,Peru,PER,12.094,87.9,4
Australia,AUS,1850,Anglo-Pacific,1,Canada,CAN,31.012,69.0,2
Australia,AUS,1870,Anglo-Pacific,1,Canada,CAN,44.992,55.0,3
Australia,AUS,1880,Anglo-Pacific,1,Canada,CAN,56.824,43.2,2
Australia,AUS,1890,Anglo-Pacific,1,Canada,CAN,41.614,58.4,3
Australia,AUS,1900,Anglo-Pacific,1,Canada,CAN,21.198,78.8,2
Australia,AUS,1910,Anglo-Pacific,1,Canada,CAN,16.478,83.5,3
Australia,AUS,1920,Anglo-Pacific,1,Canada,CAN,13.001,87.0,2
Australia,AUS,1930,Anglo-Pacific,1,Canada,CAN,10.576,89.4,3
Australia,AUS,1940,Anglo-Pacific,1,Canada,CAN,8.78,91.2,3
Australia,AUS,1950,Anglo-Pacific,1,Canada,CAN,2.66,97.3,4
Australia,AUS,1960,Anglo-Pacific,1,Canada,CAN,2.567,97.4,4
Australia,AUS,1970,Anglo-Pacific,1,Canada,CAN,5.373,94.6,4
Australia,AUS,1980,Anglo-Pacific,1,Canada,CAN,8.562,91.4,4
Australia,AUS,1990,Anglo-Pacific,1,Canada,CAN,10.173,89.8,4
Australia,AUS,2000,Anglo-Pacific,1,Canada,CAN,3.176,96.8,4
Belgium,BEL,1820,Western Europe,1,Italy,ITA,14.224,85.8,2
Belgium,BEL,1820,Western Europe,2,Denmark,DNK,17.164,82.8,2
Belgium,BEL,1820,Western Europe,3,France,FRA,20.386,79.6,2
Belgium,BEL,1850,Western Europe,1,Denmark,DNK,8.091,91.9,3
Belgium,BEL,1850,Western Europe,2,France,FRA,10.212,89.8,3
Belgium,BEL,1850,Western Europe,3,Italy,ITA,10.361,89.6,2
Belgium,BEL,1860,Western Europe,1,France,FRA,14.321,85.7,2
Belgium,BEL,1860,Western Europe,2,Denmark,DNK,15.59,84.4,2
Belgium,BEL,1860,Western Europe,3,United Kingdom,GBR,27.792,72.2,3
Belgium,BEL,1870,Western Europe,1,Netherlands,NLD,15.639,84.4,4
Belgium,BEL,1870,Western Europe,2,United Kingdom,GBR,20.609,79.4,4
Belgium,BEL,1870,Western Europe,3,Denmark,DNK,24.372,75.6,4
Belgium,BEL,1880,Western Europe,1,Netherlands,NLD,7.576,92.4,3
Belgium,BEL,1880,Western Europe,2,United Kingdom,GBR,12.877,87.1,3
Belgium,BEL,1880,Western Europe,3,France,FRA,16.878,83.1,3
Belgium,BEL,1890,Western Europe,1,Netherlands,NLD,8.416,91.6,4
